time,lat,lon,z,oxy
1901-10-02 08:00:00.000858112,60.2,19.116667,0.0,369.47357
1901-10-02 08:00:00.000858112,60.2,19.116667,0.0,321.9823
1901-10-02 08:00:00.000858112,60.2,19.116667,5.0,318.061
1901-10-02 08:00:00.000858112,60.2,19.116667,7.5,309.347
1901-10-03 18:00:00.000000000,62.716667,18.866667,0.0,302.8115
1901-10-03 18:00:00.000000000,62.716667,18.866667,30.0,309.7827
1901-10-03 18:00:00.000000000,62.716667,18.866667,0.0,296.7117
1902-08-03 11:00:00.000858112,54.5,10.35,5.0,271.8768
1902-08-03 11:00:00.000858112,54.5,10.35,0.0,203.9076
1902-08-03 16:59:59.998283264,54.933334,10.1,7.5,273.1839
1902-08-03 16:59:59.998283264,54.933334,10.1,10.0,197.8078
1902-08-04 06:59:59.999141888,54.6,11.033334,10.0,264.9056
1902-08-04 06:59:59.999141888,54.6,11.033334,20.0,213.9287
1902-08-04 13:00:00.001716736,54.166668,11.266666,0.0,257.063
1902-08-04 13:00:00.001716736,54.166668,11.266666,0.0,215.6715
1902-08-05 04:59:59.999570944,54.466667,12.25,2.5,286.69058
1902-08-05 04:59:59.999570944,54.466667,12.25,0.0,193.4508
1902-08-05 13:59:59.998283264,54.916668,13.3,7.5,294.9689
1902-08-05 13:59:59.998283264,54.916668,13.3,5.0,203.9076
1902-08-05 19:00:00.001716736,54.716667,13.35,0.0,287.56198
1902-08-05 19:00:00.001716736,54.716667,13.35,30.0,257.9344
1902-08-05 22:59:59.998283264,58.7,18.433332,0.0,335.0533
1902-08-05 22:59:59.998283264,58.7,18.433332,0.0,249.6561
1902-08-05 22:59:59.998283264,58.7,18.433332,2.5,117.2033
1902-08-06 16:00:00.001716736,55.1,13.25,2.5,295.4046
1902-08-06 16:00:00.001716736,55.1,13.25,5.0,223.9498
1902-08-06 19:59:59.998283264,55.266666,13.216666,0.0,286.2549
1902-08-06 19:59:59.998283264,55.266666,13.216666,0.0,269.6983
1902-08-07 06:59:59.999141888,54.583332,15.5,0.0,292.79037
