time,lat,lon,surface_sal,year
1876-03-17 00:00:00.000000000,3.4403334,-25.981333,35.43,1876
1876-03-18 13:30:00.000000000,3.9893334,-26.728334,35.64,1876
1876-03-19 00:00:00.000000000,-24.633333,-13.6,36.45,1876
1876-03-21 00:00:00.000000000,-21.25,-14.033334,37.08,1876
1876-03-23 00:00:00.000000000,-17.433332,-13.866667,37.15,1876
1876-03-26 11:00:00.000858112,14.146667,-36.13667,36.6,1876
1876-03-27 00:00:00.000000000,-8.05,-14.45,36.24,1876
1876-04-04 00:00:00.000000000,-5.75,-14.416667,35.45,1876
1876-04-06 00:00:00.000000000,-2.7,-14.683333,35.42,1876
1876-04-07 00:00:00.000000000,-0.25,-14.416667,35.62,1876
1876-05-06 00:00:00.000000000,32.683334,-36.1,36.77,1876
1876-06-21 00:00:00.000000000,62.733334,1.8,35.6,1876
1876-06-28 00:00:00.000000000,63.116665,5.2833333,34.8,1876
1876-07-03 21:00:00.000000000,65.316666,39.633335,22.9,1876
1876-07-04 14:30:00.001716736,64.916664,40.183334,9.7,1876
1876-07-05 13:30:00.000000000,65.38333,39.7,25.0,1876
1876-07-06 12:15:00.001716736,66.46667,41.283333,28.2,1876
1876-07-09 13:59:59.998283264,66.2,44.0,13.9,1876
1876-07-09 16:45:00.001716736,66.433334,43.616665,25.7,1876
1876-07-09 23:30:00.001716736,66.76667,42.45,27.1,1876
1876-07-10 00:00:00.000000000,78.11667,13.916667,31.43,1876
1876-07-10 02:29:59.999785472,66.86667,41.966667,29.0,1876
1876-07-10 05:30:00.000429056,67.0,41.4,29.6,1876
1876-07-11 02:45:00.000214528,68.066666,39.533333,34.2,1876
1876-07-12 06:59:59.999141888,68.066666,39.55,34.2,1876
1876-07-12 10:30:00.000000000,68.3,39.8,33.7,1876
1876-07-13 16:59:59.998283264,66.13333,39.65,27.9,1876
1876-07-17 06:59:59.999141888,65.53333,35.9,26.9,1876
1876-07-17 09:59:59.999141888,65.9,35.9,23.3,1876
1876-07-18 00:00:00.000000000,63.366665,-5.483333,35.3,1876
1876-08-06 00:00:00.000000000,64.6,-10.366667,35.0,1876
1877-07-22 00:00:00.000000000,60.136665,19.303,5.39,1877
1877-07-27 00:00:00.000000000,59.7,-0.98333335,35.16,1877
1877-07-27 00:00:00.000000000,58.68833,18.416666,6.13,1877
1878-02-03 00:00:00.000000000,15.016666,58.1,36.4,1878
1878-02-08 00:00:00.000000000,15.766666,60.466667,36.13,1878
1878-02-11 00:00:00.000000000,15.933333,65.86667,37.3,1878
1878-05-04 00:00:00.000000000,59.283333,2.3333333,34.91,1878
1878-05-08 00:00:00.000000000,70.86667,18.466667,34.73,1878
1878-06-08 00:00:00.000000000,70.76667,31.516666,34.3,1878
1878-06-27 19:59:59.998283264,70.933334,35.616665,34.85,1878
1878-06-29 11:25:00.000286208,71.6,36.3,34.78,1878
1878-06-30 06:59:59.999141888,72.45,35.016666,34.99,1878
1878-07-01 15:00:00.000000000,73.416664,31.5,35.01,1878
1878-07-02 04:00:00.000429056,74.13333,31.2,34.96,1878
1878-07-03 16:00:00.001716736,74.01667,22.45,34.6,1878
1878-07-04 18:00:00.000000000,74.166664,18.85,34.6,1878
1878-07-04 23:30:00.001716736,74.05,17.3,35.53,1878
1878-07-05 07:30:00.000000000,73.78333,14.35,35.01,1878
1878-07-06 00:30:00.000053760,73.01667,12.966666,35.05,1878
1878-07-07 11:29:59.999141888,72.683334,20.3,34.88,1878
1878-07-07 23:09:59.995994624,71.9,21.95,34.97,1878
1878-07-13 16:59:59.998283264,71.11667,21.183332,34.49,1878
1878-07-19 19:00:00.001716736,75.2,3.0333333,34.58,1878
1878-07-20 22:30:00.000000000,75.01667,7.9333334,35.17,1878
1878-07-21 07:22:59.999542272,75.0,10.45,34.85,1878
1878-07-21 22:50:00.000572416,74.933334,13.833333,34.97,1878
1878-07-22 22:00:00.001716736,74.933334,16.483334,34.38,1878
1878-07-30 14:19:59.998855680,72.88333,21.85,35.17,1878
1878-08-01 16:00:00.001716736,70.38333,61.7,29.0,1878
1878-08-02 04:00:00.000429056,71.05,63.766666,30.3,1878
1878-08-02 08:00:00.000858112,71.38333,64.53333,31.0,1878
1878-08-02 16:00:00.001716736,72.1,66.166664,30.3,1878
1878-08-03 03:00:00.000000000,72.7,68.03333,29.6,1878
1878-08-03 06:59:59.999141888,73.0,68.23333,25.4,1878
1878-08-03 15:00:00.000000000,73.46667,68.3,17.7,1878
1878-08-04 03:00:00.000000000,73.833336,70.2,12.5,1878
1878-08-05 08:00:00.000858112,76.2,14.0,34.74,1878
1878-08-05 09:59:59.999141888,76.26667,14.65,34.58,1878
1878-08-06 16:00:00.001716736,76.5,15.65,33.73,1878
1878-08-06 22:00:00.001716736,76.55,13.3,34.97,1878
1878-08-07 12:00:00.000000000,76.7,11.266666,34.17,1878
1878-08-07 22:00:00.001716736,76.666664,7.7833333,34.76,1878
1878-08-08 12:29:59.998283264,76.5,2.95,34.29,1878
1878-08-09 19:00:00.001716736,73.86667,81.666664,9.2,1878
1878-08-09 22:59:59.998283264,74.13333,82.2,11.7,1878
1878-08-10 13:00:00.001716736,77.933334,3.4833333,34.47,1878
1878-08-10 13:59:59.998283264,74.3,82.5,9.9,1878
1878-08-11 02:00:00.000214528,74.85,85.05,11.3,1878
1878-08-11 13:59:59.998283264,75.1,85.86667,13.6,1878
1878-08-11 21:00:00.000000000,78.0,8.533334,34.14,1878
1878-08-12 02:00:00.000214528,75.75,87.76667,23.0,1878
